time,tl_id,current_phase,queue_len,action,camera_detected
247,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
250,cluster_1345077844_2589681474_8228683608_8228683609,4,6,HOLD,0
253,cluster_1345077844_2589681474_8228683608_8228683609,4,5,CHANGE_DEMAND,0
256,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
259,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
262,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
265,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
268,cluster_1345077844_2589681474_8228683608_8228683609,0,10,HOLD,0
271,cluster_1345077844_2589681474_8228683608_8228683609,0,9,HOLD,0
274,cluster_1345077844_2589681474_8228683608_8228683609,0,9,HOLD,0
277,cluster_1345077844_2589681474_8228683608_8228683609,0,8,CHANGE_DEMAND,0
280,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
283,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
286,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
289,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
292,cluster_1345077844_2589681474_8228683608_8228683609,0,10,HOLD,0
295,cluster_1345077844_2589681474_8228683608_8228683609,0,8,HOLD,0
298,cluster_1345077844_2589681474_8228683608_8228683609,0,7,HOLD,0
301,cluster_1345077844_2589681474_8228683608_8228683609,0,6,CHANGE_DEMAND,0
304,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
307,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
310,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
313,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
316,cluster_1345077844_2589681474_8228683608_8228683609,4,8,HOLD,0
319,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
322,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
